Unnamed: 0,text,label,longueur,emotion,longeur
66,foothills preservation in the barber valley read the announcement,1,9,joie,9
90,this time last year real madrid were humiliated 40 by man city at the etihad to be knocked out of the champions league they got their revenge this yearnow theyre out for no15,0,33,tristesse,33
62,yesterday i showed a close up of the eastern veil nebula a supernova remnant in cygnus heres the entire cygnus loop showing both the eastern and western veil and pickerings triangle you can see how the expanding shockwave from the 15000 year old explosion is pushing the gas away from the point of the supernova the western veil is also known as the witchs broom nebula continued below,2,68,amour,68
22,whispers of the wildroaring out for endangeredspeciesday lets rally together to protect our precious wildcat species from the mighty tigers to the elusive ocelots every purr and roar deserves our voice savewildcats conservationheroes,2,33,amour,33
85,the latest feature by the south korean director hong sangsoo kelelas electronic r  b danceafrica at bam and other recommendations for what to do this week,2,26,amour,26
81,robert de niros taxicab license from the time he spent 3 months as a new york cab driver in preparation for taxi driver 1976,1,24,joie,24
77,on billie eilishs new album hit me hard and soft she seems to be caught in the middle between two women,2,21,amour,21
15,viral  penemuan nasi putih di dalam bambu ternyata bukan dongeng belaka sehingga memasak nasi bindeng ini selain membuka kembali khazanah kuno dan kearifan tradisi masa lalu nusantara juga sangat berpotensi dalam pariwisata dan kulinerkali ini kita bersamasama sedang memasak nasi bindeng di kebun jeruk di desa ngembat gondang mojokerto jawa timur,1,51,joie,51
30,max finding the limits in fp1 a big moment in the chicane f1threads,3,13,colère,13
45,ronaldo en mi generacin la competencia era mucho ms dura que ahora sin querer hablar menos de lionel messi y cristiano ronaldo en mi poca las estrellas ramos zidane rivaldo figo ronaldinho y yo era una mejor generacin,2,38,amour,38
9,tonights baseball skies in cleveland oh,3,6,colère,6
33,fluffing up your friday with these heartmelting marine mammals sea otters are vital to their ecosystems as a keystone species they help keep kelp forests healthy by eating sea urchins and other invertebrates that graze on giant kelp allowing many marine species that rely on kelp forests for food shelter and nurseries to thrive,1,54,joie,54
56,hi i never check goodreads but my husband does  he just busted into our bedroom to estatically inform me that heathen  honeysuckle has 200 five star reviews its only been out a week and 200 five stars seriously unreal i may be a baby author  may not have the largest audience of readers but this little community that doesnt exist for meholy shit you guys are so cool and im so honored to make art for you,1,77,joie,77
64,come out with your hands raised chandu budhera gurugram india,0,10,tristesse,10
28,the wnba golden state valkyries have eclipsed 10000 season ticket deposits and have received over 2500 deposits since the teams brand launch on may 14 the expansion franchise which marks the first wnba expansion team since 2008 will begin play in the 2025 wnba season,2,45,amour,45
79,it feels nice so nice to have 2 more nights of guts world tour london,1,15,joie,15
5,de niro  pesci relax on the desert set of casino 1995,1,11,joie,11
107,former ohtani teammate david fletcher placed sports bets with the same illegal bookie that ohtanis interpreter ippei mizuhara used tisha thompson of espn reports thompson writes that fletcher who was ohtanis teammate from 2018 to 2023 and has been described as one of his closest friends in baseball placed bets with the bookmaking operation of mathew bowyer according to the sourcesfletch is currently playing in the braves minor league system,1,70,joie,70
70,keeping with my desire to photograph more than a bird portraita northern parula just perched versus the same bird doing somethingsinging its subtle but more interesting i feel what do you think,0,32,tristesse,32
39,im packing for microsoft build and the big windows  surface event next week i think i have everything,1,18,joie,18
35,using chatgpt to flatten and minify svgssurprisingly it worked,1,9,joie,9
16,jurgen klopp on his liverpool side over the years we didnt waste time we didnt invent new cheeky things for set pieces getting rid of gloves or whatever and these kind of things we didnt do thatwe just tried to fight harder than other teams it was an incredible time,2,50,amour,50
105,30 years on racing with ayrton on the rb20 f1threads,1,10,joie,10
34,marsh harrier being harassed by a lapwing at greylake this morning,3,11,colère,11
110,first flight since feb 2020 lets see how it goes,1,10,joie,10
7,mark your calendars lakers preseason home slate is set x lakeshow,1,11,joie,11
43,paul skenes was dealing on the mound friday 60 ip 11 ks 0 hits 1 bb 100 pitchesreminder he was drafted no 1 by the pirates just 10 months agomlbthreads,0,30,tristesse,30
